team,name,season_year,games_played,iceTime_minutes,input_shotAttempts_per60,input_unblockedShots_per60,input_shotsOnGoal_per60,input_xGoals_per60,input_corsi_pct,input_fenwick_pct,input_xG_per_shotAttempt,input_xG_per_unblockedShot,input_xG_per_SOG,input_pct_highDanger,input_pct_mediumDanger,input_pct_lowDanger,input_ratio_HD_LD,input_ratio_HD_MD,input_ratio_MD_LD,input_shot_completion_rate,input_unblocked_rate,input_blocked_shot_rate,input_missed_net_rate,input_rebounds_per60,input_takeaways_per60,input_giveaways_per60,input_takeaway_giveaway_ratio,input_xG_per_rebound,input_pct_xG_from_rebounds,input_penalty_differential_per60,input_penalties_taken_per60,input_faceoff_win_pct,input_hits_per60,input_zone_exit_success,output_goals_per60,output_goals_pct,output_xGoals_pct,output_ratio_GF_xG,output_shooting_pct_SOG,output_shooting_pct_unblocked,output_shooting_pct_attempts,output_shooting_pct_vs_expected,output_goals_above_expected,output_pct_goals_highDanger,output_pct_goals_mediumDanger,output_pct_goals_lowDanger,output_reboundGoals_per60,output_rebound_conversion,output_shooting_pct_HD,output_shooting_pct_MD,output_shooting_pct_LD,output_HD_goals_vs_xG,output_MD_goals_vs_xG,output_LD_goals_vs_xG
T.B,T.B,2020-2021,56,2675.116666666667,52.21454516002417,40.058066003351875,29.51646968668033,2.3714105926844313,0.52,0.52,0.04541666666666667,0.0591993281075028,0.0803419452887538,0.04479283314669653,0.20100783874580067,0.7541993281075028,0.05939123979213066,0.22284122562674094,0.26651818856718634,0.5652920962199313,0.7671821305841925,0.23281786941580757,0.2631578947368421,2.0186035500009347,4.351212096668681,5.1810824450023985,0.8398268398268398,0.19944444444444442,0.16977206090986474,-0.08971571333337487,4.261496383335306,0.4970513900589722,28.30530755667977,0.5455291222313372,2.5120399733344962,0.5333333333333333,0.5208887575130554,1.0238910432233048,0.0851063829787234,0.06270996640537514,0.048109965635738834,0.004764437689969606,6.269999999999996,0.25892857142857145,0.38392857142857145,0.35714285714285715,0.5158653516669055,0.25555555555555554,0.3625,0.11977715877437325,0.02969561989606533,1.2736056214317084,0.979498861047836,1.0240655401945724
CBJ,CBJ,2020-2021,56,2922.55,48.163418932096974,37.09773998733982,27.777112453165902,2.0230278352808337,0.47,0.47,0.04200341005967605,0.05453237410071943,0.07283074648928307,0.04095185390149419,0.1627006087437742,0.7963475373547316,0.05142460041695622,0.25170068027210885,0.20430854760250175,0.5767263427109974,0.7702472293265132,0.2297527706734868,0.25124515771997785,1.8887615267489009,5.727874630031993,8.458366837179861,0.6771844660194175,0.2039130434782609,0.19037954130302415,-0.2668902157362577,2.709962190552771,0.4524,24.020119416263196,0.5671521035598706,2.0119416263194814,0.4279475982532751,0.4604672897196262,0.9293767609722028,0.07243163340724317,0.054233536247924735,0.041773231031543054,-3.9911308203990914e-4,-0.5400000000000063,0.16326530612244897,0.3877551020408163,0.4489795918367347,0.4516603650921284,0.2391304347826087,0.21621621621621623,0.1292517006802721,0.030576789437109102,0.7390300230946882,1.075573167279932,1.0587102983638113
ANA,ANA,2020-2021,56,2783.7,51.34173941157452,37.54714947731436,26.145058734777454,2.0004310809354457,0.49,0.48,0.038963056255247694,0.05327784156142365,0.07651277823577907,0.04362801377726751,0.16762342135476463,0.7887485648679678,0.055312954876273655,0.2602739726027397,0.21251819505094613,0.5092359361880773,0.7313182199832073,0.2686817800167926,0.3036739380022962,1.8967561159607718,5.604052160793189,8.794051083090851,0.6372549019607843,0.20352272727272727,0.19297489494666523,-0.9699321047526673,3.922836512555232,0.5132105684547638,26.2097208750943,0.5878434637801832,2.176958724000431,0.45089285714285715,0.4572371662232732,0.9861246863792388,0.0832646331409728,0.05797933409873708,0.04240134340890008,0.006751854905193727,8.189999999999998,0.15841584158415842,0.46534653465346537,0.37623762376237624,0.30175665481194097,0.1590909090909091,0.21052631578947367,0.16095890410958905,0.027656477438136828,0.7597340930674265,1.3544668587896251,1.0256410256410258
CHI,CHI,2020-2021,56,2797.7833333333333,47.759237968153364,34.5702252378371,26.91416418950717,1.9500437846628582,0.46,0.45,0.040830713964975306,0.05640818858560794,0.07245418326693227,0.038461538461538464,0.19727047146401985,0.7642679900744417,0.05032467532467533,0.1949685534591195,0.25811688311688313,0.5635383924562192,0.7238437359676695,0.2761562640323305,0.22146401985111663,1.4368517933840481,6.476555844805709,9.650497119743607,0.6711111111111111,0.20776119402985074,0.1530847904981854,0.3431287864797727,3.1739412749378975,0.4669987546699875,23.804559562034232,0.5738893925657298,2.144554915498579,0.4424778761061947,0.44839489126682774,0.9868040085293658,0.0796812749003984,0.062034739454094295,0.0449034575662326,0.007227091633466132,9.069999999999993,0.14,0.49,0.37,0.2573465898598295,0.1791044776119403,0.22580645161290322,0.1540880503144654,0.030032467532467532,0.8004574042309892,1.2714063310845876,1.0601719197707737
NYR,NYR,2020-2021,56,2726.016666666667,48.53235184426605,37.28517189305519,27.468650839747863,2.0909630046282426,0.47,0.48,0.04308390022675737,0.05608028335301062,0.07612179487179487,0.050177095631641085,0.16765053128689492,0.782172373081464,0.06415094339622641,0.2992957746478873,0.21433962264150944,0.5659863945578232,0.7682539682539683,0.23174603174603176,0.2632821723730815,1.804831225047536,7.065253941954378,9.728480505744034,0.7262443438914027,0.22402439024390244,0.19336842105263158,0.3301520533623541,4.049865187911544,0.45281385281385284,26.30211358453421,0.6136560069144339,2.5531758793355386,0.5225225225225225,0.48174442190669375,1.084646752015173,0.09294871794871795,0.06847697756788666,0.052607709750566896,0.016826923076923087,21,0.22413793103448276,0.3275862068965517,0.4482758620689655,0.41819260092564853,0.23170731707317074,0.3058823529411765,0.13380281690140844,0.03924528301886793,1.088321473419841,1.0860245784509859,1.4400443090556632
WSH,WSH,2020-2021,56,2769.9666666666667,52.202794257451956,39.42285707409235,28.202505445312216,2.260316008616229,0.51,0.5,0.043298755186721986,0.057335164835164834,0.08014592933947773,0.0489010989010989,0.18186813186813186,0.7692307692307693,0.06357142857142857,0.2688821752265861,0.23642857142857143,0.5402489626556016,0.7551867219917012,0.24481327800829875,0.2846153846153846,1.9494819432243469,6.953152264166837,7.624640489055222,0.9119318181818182,0.21055555555555555,0.1816003833253474,-0.38989638864486936,3.8773029759684228,0.49673469387755104,26.512954427851117,0.5501976284584981,2.837579272915438,0.5504201680672269,0.51459710030575,1.0696138158186133,0.10061443932411675,0.07197802197802197,0.05435684647302905,0.02046850998463902,26.650000000000006,0.17557251908396945,0.37404580152671757,0.45038167938931295,0.4115572991251399,0.2111111111111111,0.25842696629213485,0.14803625377643503,0.04214285714285714,0.9376273950264982,1.227762465547482,1.4786967418546366
VGK,VGK,2020-2021,56,2764.233333333333,59.12670179796688,43.04267608860805,30.605231106877135,2.711710299419972,0.53,0.54,0.045862701908957415,0.0630005042864347,0.08860283687943263,0.06253151790216843,0.19768028240040342,0.7397881996974282,0.0845262440354465,0.3163265306122449,0.267211997273347,0.5176211453744494,0.7279735682819384,0.2720264317180617,0.28895612708018154,2.56128884440532,7.510219831900345,6.0342228707176195,1.2446043165467626,0.2206779661016949,0.2084367245657568,0.5643517792757485,3.1690522990099725,0.49277754849360295,24.896595801126292,0.5416354088522131,2.930288084701002,0.5818965517241379,0.534231344879196,1.0892220333041678,0.09574468085106383,0.0680786686838124,0.04955947136563876,0.007141843971631201,10.069999999999993,0.17777777777777778,0.4,0.4222222222222222,0.499234266282393,0.19491525423728814,0.1935483870967742,0.1377551020408163,0.03885480572597137,0.7052600646488393,1.1221945137157108,1.332398316970547
PHI,PHI,2020-2021,56,2791.8,52.74016763378465,39.43692241564582,28.08940468514937,2.2624113475177303,0.52,0.52,0.04289731051344743,0.05736784741144414,0.08054322876817138,0.04741144414168937,0.18201634877384196,0.7705722070844687,0.06152758132956153,0.26047904191616766,0.2362093352192362,0.532599837000815,0.747758761206194,0.25224123879380606,0.2877384196185286,2.385557704706641,5.200945626477542,7.865892972275951,0.6612021857923497,0.19531531531531532,0.20594661347012444,-0.4298302170642596,3.8039974210186975,0.5302847974328119,24.306898774983882,0.5828617623282134,2.3210831721470018,0.4462809917355372,0.5059111880046137,0.8821330745732932,0.08263198163733741,0.05885558583106267,0.044009779951100246,0.00208875286916603,2.730000000000004,0.28703703703703703,0.42592592592592593,0.28703703703703703,0.4083387062110466,0.17117117117117117,0.3563218390804598,0.1377245508982036,0.021923620933521924,1.2581168831168832,1.1143410852713178,0.788002033553635
PIT,PIT,2020-2021,56,2822.3166666666666,49.76762588653529,38.13888117917313,28.55101305664968,2.175659475962419,0.5,0.5,0.04371636052968817,0.057045707915273136,0.07620253164556963,0.04626532887402453,0.17558528428093645,0.778149386845039,0.05945558739255014,0.2634920634920635,0.22564469914040114,0.5736864587782998,0.7663391712943187,0.23366082870568133,0.25139353400222963,1.8070261428259289,7.717064586421321,7.632028062053042,1.011142061281337,0.21611764705882355,0.179499706859488,0.2338504420127673,3.0613148772580447,0.4990011985617259,25.87236253904889,0.5303408146300914,2.6786505176007886,0.5550660792951542,0.4925876010781672,1.1268372936716946,0.09381980640357408,0.07023411371237458,0.05382315249893208,0.017617274758004453,23.659999999999997,0.21428571428571427,0.40476190476190477,0.38095238095238093,0.4039234907493253,0.2235294117647059,0.3253012048192771,0.1619047619047619,0.034383954154727794,1.152860802732707,1.3168086754453914,1.1943269470017417
BUF,BUF,2020-2021,56,2851.3,47.893943113667454,37.60389997544979,27.355942903237118,2.139024304703118,0.47,0.46,0.04466168717047452,0.05688304420817012,0.0781923076923077,0.045327364297705654,0.182988248461108,0.7716843872411864,0.05873821609862219,0.24770642201834864,0.23712835387962292,0.5711775043936731,0.7851493848857645,0.2148506151142355,0.27252378287632906,1.9570020692315788,5.934135306702206,6.544383263774419,0.9067524115755627,0.21526881720430108,0.196950319724545,0.18938729702241083,2.967067653351103,0.48787505137690096,20.05401045137306,0.6142172523961661,1.8517869042191282,0.39111111111111113,0.46271849963583395,0.8452463245340767,0.06769230769230769,0.049244543928371576,0.03866432337434095,-0.01050000000000001,-13.650000000000006,0.18181818181818182,0.2840909090909091,0.5340909090909091,0.2946024620348613,0.15053763440860216,0.19753086419753085,0.0764525993883792,0.0340826686004351,0.6805614632071458,0.6313131313131313,1.2198287049052685
