season_year,cluster,n,avg_distance
2020-2021,1,16,2.091903374133232
2020-2021,2,6,2.9751965374254303
2020-2021,3,3,2.393556743792988
2020-2021,4,6,3.2075939913975677
2021-2022,1,19,2.113122927798133
2021-2022,2,5,2.761133989271319
2021-2022,3,3,2.9937214383168076
2021-2022,4,2,2.6573204893278546
2021-2022,5,3,2.888999772366271
2022-2023,1,23,2.3106938167042546
2022-2023,2,4,2.7934630528462563
2022-2023,3,2,2.740274450874903
2022-2023,4,1,2.610875890430781
2022-2023,5,2,3.526729837712451
2023-2024,1,18,2.292405693200262
2023-2024,2,6,3.0244113408783786
2023-2024,3,5,2.4540794922159486
2023-2024,4,2,2.6142367886605724
2023-2024,5,1,1.7109554949511414
2024-2025,1,21,2.3630886328757663
2024-2025,2,2,2.6350412509220664
2024-2025,3,4,3.0722058755685606
2024-2025,4,2,2.547483724977771
2024-2025,5,3,2.806241835148471
2025-2026,1,14,1.6083880319100692
2025-2026,2,6,3.172602442529254
2025-2026,3,6,2.7811147229730904
2025-2026,4,2,2.6048236344081963
2025-2026,5,4,3.2970272675474073
