cluster,dimension,n,mean,sd
1,Finishing,6,-1.2437859483073777,0.6600404889287848
1,Penetration,6,-0.4469485197235362,0.9674737163981161
1,PuckExchanges,6,-0.18138371416144505,0.975362123677037
1,Qualite,6,-0.21775933824086957,0.4334812221753997
1,Rebonds,6,0.6662263732869844,0.5845122275893344
1,RecoveryPossession,6,0.5559633181254324,0.8820479205963759
1,Volume,6,0.03683603116313703,0.7024007766411047
2,Finishing,4,-0.34133347524474267,1.558540574544083
2,Penetration,4,-0.4643614674187382,0.5057713666162571
2,PuckExchanges,4,0.8654793148034912,1.1393218179390212
2,Qualite,4,0.36860530479471,0.8296475795431513
2,Rebonds,4,1.8967649880078727,0.28945970447414965
2,RecoveryPossession,4,-0.6807730339264176,0.616766149292267
2,Volume,4,1.9381850783948869,1.2725062955610356
3,Finishing,12,0.25693681989901007,0.5195803908444666
3,Penetration,12,-0.0876201979996089,0.6161090775824489
3,PuckExchanges,12,0.16005172924996372,0.5674442920121218
3,Qualite,12,-0.6103563860403984,0.4771716487624745
3,Rebonds,12,-0.14373117337651656,0.5432110607621757
3,RecoveryPossession,12,-0.368711637096702,0.561911581165332
3,Volume,12,-0.054812397468418504,0.4703175125374335
4,Finishing,5,0.6123481821260516,0.8145865156709842
4,Penetration,5,-0.30146851416201215,1.1613159560323185
4,PuckExchanges,5,0.2666037986340334,0.43364957686137323
4,Qualite,5,1.1035319621780406,1.353684763565858
4,Rebonds,5,-1.282055847249088,0.5018728701919603
4,RecoveryPossession,5,-0.33360570282951824,0.5526888946385046
4,Volume,5,-1.3757955240220519,0.44285291586137693
5,Finishing,3,-0.342288939509985,0.8672910013337373
5,Penetration,3,2.503363001791837,0.4802655919711444
5,PuckExchanges,3,-0.17107907244360285,0.3421372319889653
5,Qualite,3,0.9763360804289896,2.0635568678124194
5,Rebonds,3,-0.4370519191554347,0.4339987377252036
5,RecoveryPossession,3,0.036030145183452884,0.5272271348794366
5,Volume,3,-0.02410322091692772,0.5332565113698962
6,Finishing,2,1.532162458692475,0.5635327154626146
6,Penetration,2,-0.016549007216064022,0.10850954248840279
6,PuckExchanges,2,-3.1562599375431093,0.7897290214099918
6,Qualite,2,-0.12321563800669874,0.5491736990802328
6,Rebonds,2,-0.7556182731315342,0.5051352638805808
6,RecoveryPossession,2,3.219439723154705,0.2898769325768665
6,Volume,2,-0.003969585635193396,0.5779526628160138
