cluster_a,cluster_b,dimension,cohens_d
1,2,Volume,-1.6577911782940753
1,2,Qualite,-1.5147084616018165
1,2,Penetration,-0.15625068912182605
1,2,Rebonds,-3.6874363035688784
1,2,RecoveryPossession,0.054645241120911785
1,2,PuckExchanges,-0.5666203319949977
1,3,Volume,1.985584870908322
1,3,Qualite,-0.9565090732293079
1,3,Penetration,-1.03959771449907
1,3,Rebonds,2.0620675089226794
1,3,RecoveryPossession,0.055230467602033616
1,3,PuckExchanges,0.30670123113479564
1,4,Volume,-1.0446261265012546
1,4,Qualite,-4.648313551161524
1,4,Penetration,-3.7393928635862
1,4,Rebonds,0.35559403535985257
1,4,RecoveryPossession,-1.4200008301792728
1,4,PuckExchanges,0.9200069230946245
1,5,Volume,-0.4779104943212747
1,5,Qualite,-0.4796873637193958
1,5,Penetration,-0.6663124990118624
1,5,Rebonds,0.027862464531904052
1,5,RecoveryPossession,-2.501309999239431
1,5,PuckExchanges,2.76242162265806
1,6,Volume,NA
1,6,Qualite,NA
1,6,Penetration,NA
1,6,Rebonds,NA
1,6,RecoveryPossession,NA
1,6,PuckExchanges,NA
2,3,Volume,2.734889242114596
2,3,Qualite,0.1642381779184022
2,3,Penetration,-1.0395103698303496
2,3,Rebonds,6.252617862432452
2,3,RecoveryPossession,-0.004225975574604476
2,3,PuckExchanges,0.7238102385905945
2,4,Volume,1.3088887667448534
2,4,Qualite,-2.768439022999554
2,4,Penetration,-4.594528964582731
2,4,Rebonds,4.501091225082631
2,4,RecoveryPossession,-1.3144383626039071
2,4,PuckExchanges,1.0449484216650498
2,5,Volume,1.3874021680841435
2,5,Qualite,1.163347986275718
2,5,Penetration,-0.7421715984056219
2,5,Rebonds,3.3026298457920475
2,5,RecoveryPossession,-2.452085714643944
2,5,PuckExchanges,2.66085629576608
2,6,Volume,NA
2,6,Qualite,NA
2,6,Penetration,NA
2,6,Rebonds,NA
2,6,RecoveryPossession,NA
2,6,PuckExchanges,NA
3,4,Volume,-3.921020654272378
3,4,Qualite,-2.3578832496737805
3,4,Penetration,-1.7670877679052495
3,4,Rebonds,-1.8551131839813222
3,4,RecoveryPossession,-1.4637090726170365
3,4,PuckExchanges,0.3474213133571571
3,5,Volume,-2.4696536886826363
3,5,Qualite,0.67947364128667
3,5,Penetration,0.7975570597845785
3,5,Rebonds,-1.8481712016827379
3,5,RecoveryPossession,-2.524211084096346
3,5,PuckExchanges,2.4570802391627686
3,6,Volume,NA
3,6,Qualite,NA
3,6,Penetration,NA
3,6,Rebonds,NA
3,6,RecoveryPossession,NA
3,6,PuckExchanges,NA
4,5,Volume,0.4004583998693489
4,5,Qualite,4.389920736076712
4,5,Penetration,5.479136025698631
4,5,Rebonds,-0.29144529159203636
4,5,RecoveryPossession,-1.8550437929678243
4,5,PuckExchanges,2.5112294048924335
4,6,Volume,NA
4,6,Qualite,NA
4,6,Penetration,NA
4,6,Rebonds,NA
4,6,RecoveryPossession,NA
4,6,PuckExchanges,NA
5,6,Volume,NA
5,6,Qualite,NA
5,6,Penetration,NA
5,6,Rebonds,NA
5,6,RecoveryPossession,NA
5,6,PuckExchanges,NA
