cluster,n,dimension,within_cor,beta,combined
1,6,Volume,0.6778713489370051,0.14584658472623308,0.41185896683161904
1,6,Qualite,-0.12968938883401035,0.12077734129633867,-0.004456023768835839
1,6,Penetration,0.5644901089675833,0.015215842301628441,0.2898529756346059
1,6,Rebonds,0.1376174615997599,0.5695931031834154,0.3536052823915876
1,6,Finishing,0.5764552668639382,0.669658298541099,0.6230567827025186
1,6,Misc_1,0.6012167806175246,0.19141247929415553,0.39631462995584005
1,6,Misc_2,-0.658773734639044,0.14139188677435632,-0.25869092393234383
2,4,Volume,0.40732749803963064,0.14584658472623308,0.2765870413829319
2,4,Qualite,-0.881890740436385,0.12077734129633867,-0.3805566995700232
2,4,Penetration,0.4948480520251192,0.015215842301628441,0.25503194716337385
2,4,Rebonds,0.9422657006738522,0.5695931031834154,0.7559294019286338
2,4,Finishing,0.5035568374367979,0.669658298541099,0.5866075679889484
2,4,Misc_1,-0.0707865929899647,0.19141247929415553,0.060312943152095413
2,4,Misc_2,-0.05030552544305968,0.14139188677435632,0.04554318066564832
3,12,Volume,0.18549670015899652,0.14584658472623308,0.16567164244261479
3,12,Qualite,0.03345220078819853,0.12077734129633867,0.0771147710422686
3,12,Penetration,0.3726508693561182,0.015215842301628441,0.1939333558288733
3,12,Rebonds,0.24020100261634092,0.5695931031834154,0.40489705289987815
3,12,Finishing,0.5621016909337722,0.669658298541099,0.6158799947374356
3,12,Misc_1,-0.0193900273703133,0.19141247929415553,0.08601122596192111
3,12,Misc_2,0.07068353720762059,0.14139188677435632,0.10603771199098846
4,5,Volume,0.4501893778856973,0.14584658472623308,0.2980179813059652
4,5,Qualite,0.2746279501358608,0.12077734129633867,0.19770264571609972
4,5,Penetration,0.28211690163435005,0.015215842301628441,0.14866637196798924
4,5,Rebonds,0.7505508554388152,0.5695931031834154,0.6600719793111153
4,5,Finishing,0.30739914660596906,0.669658298541099,0.4885287225735341
4,5,Misc_1,-0.8182630138881083,0.19141247929415553,-0.3134252672969764
4,5,Misc_2,0.6452926524806155,0.14139188677435632,0.3933422696274859
5,3,Volume,0.2131774717894924,0.14584658472623308,0.17951202825786272
5,3,Qualite,0.6597816114444077,0.12077734129633867,0.3902794763703732
5,3,Penetration,0.5383048331588255,0.015215842301628441,0.27676033773022696
5,3,Rebonds,0.98731625767152,0.5695931031834154,0.7784546804274677
5,3,Finishing,-0.8465386579698425,0.669658298541099,-0.08844017971437174
5,3,Misc_1,-0.0956022609542261,0.19141247929415553,0.04790510916996472
5,3,Misc_2,0.8204969321140307,0.14139188677435632,0.48094440944419353
6,2,Volume,1,0.14584658472623308,0.5729232923631166
6,2,Qualite,1,0.12077734129633867,0.5603886706481693
6,2,Penetration,1,0.015215842301628441,0.5076079211508142
6,2,Rebonds,1,0.5695931031834154,0.7847965515917077
6,2,Finishing,-1,0.669658298541099,-0.16517085072945048
6,2,Misc_1,-0.9999999999999999,0.19141247929415553,-0.4042937603529222
6,2,Misc_2,1,0.14139188677435632,0.5706959433871781
