team,k,cluster
VAN,3,3
COL,3,3
NJD,3,2
TOR,3,2
PHI,3,2
STL,3,2
EDM,3,2
DAL,3,2
FLA,3,3
ANA,3,3
CBJ,3,3
MIN,3,1
SJS,3,2
WSH,3,3
PIT,3,3
NYR,3,2
UTA,3,1
TBL,3,3
OTT,3,1
SEA,3,2
CAR,3,3
LAK,3,2
NSH,3,3
BOS,3,1
WPG,3,2
NYI,3,2
DET,3,2
VGK,3,2
CGY,3,3
CHI,3,2
BUF,3,2
MTL,3,1
VAN,4,3
COL,4,3
NJD,4,4
TOR,4,2
PHI,4,2
STL,4,4
EDM,4,2
DAL,4,2
FLA,4,4
ANA,4,3
CBJ,4,3
MIN,4,1
SJS,4,2
WSH,4,4
PIT,4,4
NYR,4,4
UTA,4,1
TBL,4,3
OTT,4,1
SEA,4,2
CAR,4,3
LAK,4,2
NSH,4,3
BOS,4,4
WPG,4,4
NYI,4,4
DET,4,4
VGK,4,4
CGY,4,4
CHI,4,4
BUF,4,4
MTL,4,1
VAN,5,4
COL,5,2
NJD,5,4
TOR,5,5
PHI,5,5
STL,5,4
EDM,5,3
DAL,5,5
FLA,5,4
ANA,5,2
CBJ,5,2
MIN,5,1
SJS,5,5
WSH,5,4
PIT,5,4
NYR,5,3
UTA,5,1
TBL,5,2
OTT,5,1
SEA,5,5
CAR,5,2
LAK,5,3
NSH,5,2
BOS,5,1
WPG,5,4
NYI,5,4
DET,5,4
VGK,5,4
CGY,5,4
CHI,5,4
BUF,5,3
MTL,5,1
VAN,6,4
COL,6,6
NJD,6,4
TOR,6,2
PHI,6,2
STL,6,4
EDM,6,3
DAL,6,2
FLA,6,4
ANA,6,6
CBJ,6,5
MIN,6,1
SJS,6,2
WSH,6,6
PIT,6,4
NYR,6,3
UTA,6,1
TBL,6,6
OTT,6,1
SEA,6,2
CAR,6,5
LAK,6,3
NSH,6,5
BOS,6,1
WPG,6,4
NYI,6,4
DET,6,4
VGK,6,4
CGY,6,4
CHI,6,4
BUF,6,3
MTL,6,1
