team,cluster,silhouette
NSH,1,0.21443705209581188
CBJ,1,0.2058865547333611
VAN,1,0.09960016484639203
MIN,1,0.09797449877117378
UTA,1,-0.002543380561878008
CHI,1,-0.13684444364858736
COL,2,0.1865115112842078
CAR,2,0.12350128905109149
ANA,2,0.004085262967222643
TBL,2,-0.11779530076793072
NJD,3,0.4467316399818333
FLA,3,0.4038478378699234
DET,3,0.38958118620524984
VGK,3,0.38428778724425905
NYI,3,0.35020282002822223
WSH,3,0.331596660303903
PIT,3,0.3171094793767287
WPG,3,0.30533904078268126
BOS,3,0.2741511315339492
BUF,3,0.2351563256848369
STL,3,0.20060621153056626
CGY,3,0.1751497694761775
SJS,4,0.17240169103679584
SEA,4,0.13836065080024193
TOR,4,0.11187516196054598
PHI,4,0.10755279382670686
DAL,4,0.04559427346255693
EDM,5,0.29883339434803907
LAK,5,0.15206617862108807
NYR,5,-0.11777762789183606
MTL,6,0.6673132657022732
OTT,6,0.5740340588045119
