team,cluster,Volume,Qualite,Penetration,Rebonds,Finishing,RecoveryPossession,PuckExchanges
CBJ,1,0.54,0.02,0.06,1.37,-1.64,0.08,0.21
CHI,1,-1.04,-0.38,-1.38,-0.01,-0.77,0.16,0.69
MIN,1,-0.27,-0.95,0.11,0.01,-1.25,1.64,-1.02
NSH,1,0.37,0.3,0.39,1.22,-2.06,0.17,0.56
UTA,1,0.9,-0.28,0.09,0.62,-0.22,1.68,-1.74
VAN,1,-0.27,-0.02,-1.95,0.79,-1.53,-0.4,0.21
ANA,2,1.18,0.8,-1.14,1.55,0.16,-0.01,0.12
CAR,2,3.14,1.25,0.01,1.88,-2.63,-0.78,2.5
COL,2,2.89,-0.63,-0.18,2.26,0.87,-0.46,0.8
TBL,2,0.55,0.06,-0.55,1.89,0.24,-1.47,0.05
BOS,3,-0.07,-0.27,0.1,0.31,1.22,0.29,-1.12
BUF,3,-0.11,-0.1,1.26,-0.2,0.54,0,1.16
CGY,3,0.29,-1.52,-1.42,-0.33,-0.14,0.24,-0.25
DET,3,-0,-0.04,-0.07,-0.29,0.46,-0.79,0.76
FLA,3,0.34,-0.98,-0.14,0.32,0.21,-1.3,-0.13
NJD,3,0.21,-0.23,0.17,-0.09,0.27,-0.13,0.31
NYI,3,-0.47,-0.04,-0.35,-0.1,-0.05,-0.24,0.18
PIT,3,0.45,-0.87,-0.28,-0.02,-0.06,0.28,0.4
STL,3,-1.06,-0.67,0.42,-0.22,-0.85,-0.53,-0.23
VGK,3,-0.14,-1.05,-0.18,-1.05,0.62,-0.26,0.35
WPG,3,-0.61,-0.91,-0.44,-1,0.17,-1.29,0.16
WSH,3,0.52,-0.64,-0.12,0.94,0.69,-0.71,0.32
DAL,4,-1.77,0.39,0.23,-0.89,0.04,0.02,0.26
PHI,4,-1.02,0.35,0.1,-1.61,1.43,-0.72,-0.16
SEA,4,-1.42,0.06,-0.12,-2.01,0.65,0.22,0.21
SJS,4,-1.83,3.36,-2.33,-0.94,-0.43,-0.09,0.05
TOR,4,-0.83,1.37,0.6,-0.96,1.37,-1.1,0.98
EDM,5,0.13,2.61,2.79,0.06,-1.17,-0,0.16
LAK,5,0.42,1.66,1.95,-0.63,0.56,0.58,-0.15
NYR,5,-0.62,-1.34,2.78,-0.74,-0.41,-0.47,-0.52
MTL,6,-0.41,-0.51,-0.09,-1.11,1.93,3.42,-3.71
OTT,6,0.4,0.27,0.06,-0.4,1.13,3.01,-2.6
